Dates,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Balance
2017-10-08,48336.44047619048,6917.547619047618,38052.22916666667,2754.3244047619046,1072.0684523809525,4231.226190476191,-781.1636904761905,1025.9017857142856,4935.693452380952
2017-10-15,47935.720238095244,7331.25,37243.08630952381,1620.357142857143,1052.8541666666667,3851.514880952381,-925.232142857143,983.9970238095237,3222.1071428571427
2017-10-22,47811.339285714275,6345.166666666667,35804.33630952381,4486.880952380952,819.6904761904763,3261.2946428571427,-1015.6904761904761,1031.9255952380952,2922.264880952381
2017-10-29,50408.3244047619,7754.026785714285,38500.622023809534,2541.6785714285716,838.2529761904763,3408.401785714286,-932.7946428571429,1054.5267857142856,2756.3898809523807
2017-11-05,53629.31250000001,8330.392857142857,40093.020833333336,2320.6696428571427,756.0892857142857,3422.535714285714,-919.8869047619046,1149.6994047619048,1523.2083333333335
2017-11-12,61163.02083333332,9662.17261904762,39718.55357142857,3559.973214285714,541.6577380952381,5359.199404761904,-888.1458333333333,1265.0059523809525,-1944.6041666666665
2017-11-19,64504.1755952381,9867.565476190475,41936.3125,2037.1071428571431,772.3392857142859,6668.574404761904,-717.7886904761905,1179.297619047619,-2760.7678571428573
2017-11-26,62061.70238095238,9723.190476190475,43280.40178571428,4498.4047619047615,571.5922619047619,4669.127976190476,-948.8125,1220.375,952.5773809523808
2017-12-03,72127.0625,10311.50595238095,47670.39285714285,2968.752976190476,466.69642857142856,7037.392857142856,-641.6488095238094,1150.0029761904764,-3163.967261904762
2017-12-10,72398.19642857143,10077.369047619048,50027.49999999999,3951.8869047619046,390.4375,6753.660714285715,-717.2886904761905,1127.9136904761904,-786.7172619047617
2017-12-17,71262.87499999999,8798.922619047618,49719.90178571428,5782.449404761904,358.0238095238096,7996.130952380951,-1039.9107142857142,1101.3630952380954,1454.0059523809523
2017-12-24,68161.16071428571,8598.663690476193,52392.57142857143,2065.613095238095,358.5744047619047,7388.696428571428,-762.8363095238095,1143.8720238095236,3023.9940476190473
2017-12-31,63027.02678571428,3798.6041666666665,49733.55357142858,7404.160714285715,342.81845238095235,6400.008928571429,-1304.517857142857,1149.8839285714287,4497.485119047619
2018-01-07,60949.00297619047,2927.077380952381,51080.99702380953,7342.761904761906,255.05654761904756,8763.565476190475,-1217.8065476190477,1080.0148809523807,9282.663690476193
2018-01-14,67324.79166666666,6730.827380952382,55872.556547619046,2404.9910714285716,390.5773809523809,9561.020833333332,-916.1130952380953,1092.029761904762,7811.098214285713
2018-01-21,67414.39880952382,4334.1577380952385,55635.17857142857,7767.312500000001,376.84226190476187,9828.982142857143,-1130.6994047619046,1078.797619047619,10476.172619047618
2018-01-28,64112.47321428572,4612.619047619048,56178.52976190477,4477.065476190476,442.2678571428572,10465.080357142857,-1097.8005952380952,1086.5119047619048,12051.800595238095
2018-02-04,68025.61011904762,6087.336309523808,55619.31845238095,3800.8869047619046,527.4434523809524,10254.452380952382,-1008.0595238095237,1125.0208333333333,8380.78869047619
2018-02-11,76516.6726190476,9483.63988095238,55825.943452380954,3711.101190476191,574.3452380952381,10822.127976190473,-659.6011904761906,1167.0982142857142,4407.982142857143
2018-02-18,71065.81845238096,8420.41369047619,55388.58333333333,3230.4910714285716,718.7410714285713,9751.464285714286,-805.0267857142857,1183.169642857143,6822.017857142858
2018-02-25,73046.17559523809,8854.005952380952,51736.1369047619,4825.830357142857,1023.3839285714286,10763.883928571431,-780.5982142857143,1179.955357142857,4556.422619047619
2018-03-04,78422.75892857143,8514.931547619048,51470.01488095238,6062.244047619047,1012.0922619047618,11111.327380952382,-653.809523809524,1024.7083333333333,118.74999999999993
2018-03-11,62896.92559523809,6209.568452380952,49622.34821428572,4230.625000000001,985.9404761904763,9173.785714285714,-898.220238095238,1048.529761904762,7475.651785714285
