;YYMM;Région;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Balance
414;1511;IDF;12524407.0;710170.0;0.0;16512.0;4922.0;10758.0;0.0;185917.0;-11596128.0
415;1511;N;4860751.0;1006174.0;10665174.0;336822.0;9000.0;12691.0;0.0;78744.0;7247854.0
416;1511;NlleA;7285988.0;208051.0;8962911.0;177096.0;193482.0;274867.0;0.0;240416.0;2770835.0
417;1511;O;6265057.0;189131.0;3323436.0;483588.0;177493.0;1307324.0;-323858.0;135369.0;-972574.0
418;1511;PACA;7095899.0;1802431.0;0.0;20334.0;149895.0;1301304.0;0.0;121853.0;-3700082.0
419;1511;PDL;4503411.0;835296.0;0.0;249711.0;30856.0;1329.0;0.0;65435.0;-3320784.0
420;1512;AURA;12431298.0;513033.0;15745493.0;139367.0;67403.0;3374458.0;-912582.0;179320.0;6675194.0
421;1512;B;4017544.0;200735.0;0.0;500867.0;10358.0;92549.0;-9743.0;52824.0;-3169954.0
422;1512;BFC;4149661.0;165516.0;0.0;174913.0;17494.0;115188.0;-1860.0;33514.0;-3644896.0
423;1512;CVDL;3540602.0;105504.0;15788535.0;390931.0;17460.0;3444.0;0.0;75718.0;12840990.0
424;1512;GE;8254839.0;1611096.0;17474103.0;1182368.0;32638.0;1020833.0;-242946.0;121873.0;12945126.0
425;1512;HF;9196778.0;1183861.0;7669815.0;1517051.0;6643.0;2944.0;0.0;187604.0;1371140.0
426;1512;IDF;13581887.0;667251.0;0.0;14362.0;3982.0;14811.0;0.0;201318.0;-12680163.0
427;1512;N;5191759.0;1027252.0;11461681.0;405655.0;6818.0;18014.0;0.0;74791.0;7802452.0
428;1512;NlleA;8297710.0;207358.0;8893529.0;222630.0;189795.0;330397.0;0.0;266326.0;1812325.0
429;1512;O;7192183.0;85409.0;3467781.0;290190.0;135314.0;1364237.0;-364262.0;138510.0;-2075004.0
430;1512;PACA;7976602.0;1573749.0;0.0;7003.0;82118.0;957001.0;0.0;128455.0;-5228276.0
431;1512;PDL;5058405.0;750690.0;0.0;300154.0;26742.0;3403.0;0.0;63694.0;-3913722.0
432;1601;AURA;13784149.0;662522.0;17526702.0;170000.0;52916.0;5201796.0;-936867.0;182673.0;9075593.0
433;1601;B;4777785.0;217679.0;0.0;455293.0;10699.0;107011.0;-9662.0;51889.0;-3944876.0
434;1601;BFC;4469178.0;214433.0;0.0;208259.0;12672.0;194645.0;-2369.0;29926.0;-3811612.0
435;1601;CVDL;4063407.0;111766.0;16909169.0;524372.0;14137.0;28167.0;0.0;71447.0;13595651.0
436;1601;GE;9462779.0;1757361.0;17774975.0;1458951.0;30531.0;1405573.0;-238246.0;162306.0;12888672.0
437;1601;HF;10405026.0;1447185.0;7330270.0;1491818.0;11183.0;3195.0;0.0;174979.0;53604.0
438;1601;IDF;15597377.0;712786.0;0.0;18087.0;3640.0;15838.0;0.0;207271.0;-14639755.0
439;1601;N;5932299.0;1070733.0;10680333.0;373218.0;6826.0;28587.0;0.0;69914.0;6297312.0
440;1601;NlleA;8995885.0;250024.0;9386822.0;256407.0;150417.0;944375.0;0.0;261664.0;2253824.0
441;1601;O;7856200.0;255991.0;3510165.0;373840.0;117563.0;2131013.0;-341604.0;138375.0;-1670857.0
442;1601;PACA;8637388.0;1416426.0;0.0;11967.0;99741.0;1145520.0;0.0;146311.0;-5817423.0
443;1601;PDL;5761506.0;1327912.0;0.0;347302.0;26111.0;5670.0;0.0;51154.0;-4003357.0
444;1602;AURA;12924143.0;444578.0;16419204.0;180695.0;66627.0;6111486.0;-701809.0;171871.0;9768509.0
445;1602;B;4466634.0;213197.0;0.0;400735.0;19317.0;107428.0;-6804.0;47253.0;-3685508.0
446;1602;BFC;4144143.0;187236.0;0.0;222175.0;15405.0;274939.0;-1023.0;27905.0;-3417506.0
447;1602;CVDL;3807218.0;108677.0;15605060.0;551145.0;23504.0;53670.0;0.0;64619.0;12599457.0
448;1602;GE;8754363.0;1169632.0;14898334.0;1610357.0;39310.0;1599681.0;-205766.0;146680.0;10503865.0
449;1602;HF;9704745.0;1268721.0;5728235.0;1372768.0;14799.0;2783.0;0.0;156885.0;-1160554.0
450;1602;IDF;14249343.0;676606.0;0.0;18646.0;6559.0;3098.0;0.0;199349.0;-13345085.0
451;1602;N;5523450.0;838203.0;11272522.0;320256.0;12107.0;28131.0;0.0;65774.0;7013543.0
452;1602;NlleA;8455545.0;241339.0;7412904.0;251455.0;233191.0;1298673.0;0.0;222060.0;1204077.0
453;1602;O;7237123.0;71777.0;3250186.0;515347.0;184317.0;2617721.0;-318726.0;128701.0;-787800.0
454;1602;PACA;7726639.0;1062579.0;0.0;22224.0;141368.0;1610087.0;0.0;160442.0;-4729939.0
455;1602;PDL;5360024.0;933455.0;0.0;329484.0;46675.0;5630.0;0.0;50514.0;-3994266.0
456;1603;AURA;13262139.0;545206.0;15265201.0;180935.0;126977.0;5355206.0;-600280.0;183927.0;7795033.0
457;1603;B;4595317.0;226007.0;0.0;380804.0;32833.0;108690.0;-8758.0;50461.0;-3805280.0
458;1603;BFC;4233154.0;186395.0;0.0;183051.0;34760.0;216249.0;-2986.0;32423.0;-3583262.0
459;1603;CVDL;3820134.0;101184.0;15014906.0;457239.0;39757.0;40715.0;0.0;62183.0;11895850.0
460;1603;GE;8953670.0;1802567.0;14676244.0;1260140.0;75671.0;1420948.0;-186941.0;149703.0;10244662.0
461;1603;HF;9815186.0;1321309.0;7290310.0;1110029.0;23318.0;3753.0;0.0;165126.0;98659.0
462;1603;IDF;14517171.0;639007.0;0.0;16598.0;10456.0;7384.0;0.0;212886.0;-13630840.0
463;1603;N;5690483.0;1221147.0;11220541.0;251000.0;19749.0;29494.0;0.0;74365.0;7125813.0
464;1603;NlleA;8595312.0;229532.0;7341061.0;246781.0;386199.0;1110333.0;0.0;274381.0;992975.0
465;1603;O;7347812.0;82176.0;3589510.0;469278.0;285650.0;2869495.0;-295978.0;119899.0;-227782.0
466;1603;PACA;7774233.0;1192227.0;0.0;23832.0;217819.0;1884233.0;0.0;168083.0;-4288039.0
467;1603;PDL;5504855.0;1006686.0;0.0;332805.0;73732.0;6166.0;0.0;53596.0;-4031870.0
468;1604;AURA;10821746.0;160876.0;13208297.0;168931.0;151041.0;5392076.0;-611696.0;157505.0;7805284.0
469;1604;B;3836681.0;4366.0;0.0;234444.0;40047.0;96320.0;-7772.0;46618.0;-3422658.0
470;1604;BFC;3468020.0;39808.0;0.0;104541.0;39624.0;203936.0;-175.0;29818.0;-3050468.0
471;1604;CVDL;3067312.0;477.0;11856958.0;258735.0;48138.0;44345.0;0.0;70317.0;9211658.0
472;1604;GE;7590707.0;941255.0;14329691.0;762565.0;95178.0;1649608.0;-160417.0;125884.0;10153057.0
473;1604;HF;8405737.0;965305.0;5026734.0;766036.0;29887.0;3786.0;0.0;151614.0;-1462375.0
474;1604;IDF;11901363.0;61758.0;0.0;9499.0;15005.0;10568.0;0.0;165259.0;-11639274.0
475;1604;N;4873366.0;894289.0;8324317.0;178653.0;26010.0;27480.0;0.0;68348.0;4645731.0
476;1604;NlleA;7146849.0;112539.0;5944877.0;120231.0;431870.0;981455.0;0.0;248415.0;692538.0
477;1604;O;5803429.0;-1296.0;3379541.0;503934.0;346707.0;2579825.0;-35123.0;107221.0;1077380.0
478;1604;PACA;6175719.0;1182318.0;0.0;25025.0;252971.0;1879902.0;-4.0;152552.0;-2682955.0
479;1604;PDL;4681532.0;494310.0;0.0;198536.0;86550.0;6493.0;0.0;51174.0;-3844469.0
480;1605;AURA;9921434.0;127932.0;13300244.0;193733.0;180940.0;5613932.0;-617352.0;143222.0;9021217.0
481;1605;B;3124917.0;1939.0;0.0;171184.0;46797.0;97235.0;-9548.0;54420.0;-2762890.0
482;1605;BFC;3196219.0;44178.0;0.0;124442.0;46948.0;232563.0;-124.0;27581.0;-2720631.0
483;1605;CVDL;2620013.0;77.0;11528884.0;246807.0;52761.0;25135.0;0.0;76382.0;9310033.0
484;1605;GE;6928733.0;469275.0;12688203.0;640444.0;115125.0;1978084.0;-203542.0;127024.0;8885880.0
485;1605;HF;7594584.0;707680.0;4805763.0;623901.0;34567.0;3362.0;0.0;161511.0;-1257800.0
486;1605;IDF;10545359.0;45130.0;0.0;8416.0;15272.0;12711.0;0.0;198619.0;-10265211.0
487;1605;N;4046089.0;628221.0;8183595.0;140379.0;29932.0;23210.0;0.0;57659.0;5016907.0
488;1605;NlleA;6164489.0;53125.0;6404052.0;135646.0;501991.0;921586.0;0.0;239809.0;2091720.0
489;1605;O;5218243.0;-2610.0;1910019.0;600008.0;405084.0;2462465.0;-425854.0;120702.0;-148429.0
490;1605;PACA;5835200.0;668619.0;0.0;26426.0;300534.0;1679342.0;-215.0;157964.0;-3002530.0
491;1605;PDL;3882000.0;21014.0;0.0;166353.0;98130.0;5517.0;0.0;53170.0;-3537816.0
492;1606;AURA;9324412.0;187168.0;10104003.0;91419.0;188391.0;6501398.0;-537120.0;144194.0;7355041.0
493;1606;B;2916409.0;3614.0;0.0;126684.0;37345.0;92040.0;-9337.0;43288.0;-2622775.0
