Dates;Eolien;Capa_eol;TCH_eol;Eol_p_sinus;Err_sinus;Eol_p_exog;Err_exog;Eol_p_filter;Err_exog_filter;Eol_p_reduit_noreg;Err_filter_noreg;Eol_p_reduit;Err_filter_exog_filter;Eol_p_LinReg;Err_LinReg;Eol_p_LinReg_filter;Err_LinReg_filter
2020-01-07 03:00:00;3741.333333333334;16512;0.22658268733850132;1427.5034949090627;2313.829838424271;1999.1467521098452;1742.1865812234885;1814.4867786542866;1926.8465546790471;1947.4902551346538;1793.84307819868;1746.3885418660661;1994.9447914672676;3785.4417196453414;44.10838631200774;3786.5346796884414;45.20134635510753
2020-01-07 06:00:00;3072.666666666666;16512;0.18608688630490952;1397.277225700949;1675.3894409657169;2584.8144347468283;487.8522319198379;1589.8689314889616;1482.7977351777042;2268.2052677067786;804.4613989598874;2394.4897449401;678.1769217265658;4015.7676623697735;943.1009957031072;4016.431337839146;943.7646711724801
2020-01-07 09:00:00;2987.0;16512;0.18089874031007752;1146.930541927994;1840.069458072006;1032.6565848585217;1954.3434151414783;1783.5749798165625;1203.4250201834375;1035.0212625681497;1951.9787374318503;1697.891518900358;1289.108481099642;4247.9742163562705;1260.9742163562703;4248.713020292599;1261.713020292599
2020-01-07 12:00:00;3180.0;16512;0.1925872093023256;700.5460789804358;2479.4539210195644;914.8234340832865;2265.1765659167136;299.39262649389696;2880.607373506103;-28.32439050288724;3208.3243905028876;103.51050007624754;3076.4894999237526;5100.9648585542445;1920.9648585542445;5102.356297549151;1922.356297549151
2020-01-07 15:00:00;3968.166666666666;16512;0.24032017118863044;611.6544415667402;3356.512225099926;1285.5526494464589;2682.614017220207;978.4859946004357;2989.6806720662303;500.8104289363386;3467.3562377303274;703.9668209727711;3264.199845693895;4669.050153386644;700.8834867199776;4669.9752754767915;701.8086088101254
2020-01-07 18:00:00;5290.5;16512;0.3204033430232558;710.4588386075229;4580.041161392477;1353.5787216602728;3936.921278339727;1139.487656526923;4151.012343473077;1183.4230819303557;4107.076918069644;1398.769921784126;3891.7300782158736;3931.214115040118;1359.2858849598817;3931.8961298626837;1358.6038701373159
2020-01-07 21:00:00;5539.5;16512;0.3354832848837209;541.407902966442;4998.092097033557;1263.773682661714;4275.726317338285;656.4151624774005;4883.0848375226;611.4315932938194;4928.068406706181;1058.0383346109265;4481.461665389073;3947.1846508222507;1592.315349177749;3947.805257825021;1591.6947421749792
2020-01-08 00:00:00;5823.0;16516;0.35256720755630905;736.8014461701433;5086.198553829857;1075.7446208133076;4747.255379186693;962.1442376869737;4860.855762313026;654.7739580226023;5168.2260419773975;617.7906541883568;5205.209345811643;4004.710162773976;1818.2898372260238;4004.7327562131377;1818.2672437868623
2020-01-08 03:00:00;5721.0;16516;0.3463913780576411;698.7927034453286;5022.207296554671;1187.2423004771213;4533.757699522878;1201.1288284377204;4519.87117156228;1278.0908959357155;4442.909104064284;1363.2974982756757;4357.702501724324;3958.5397962030243;1762.460203796976;3958.434141401698;1762.5658585983022
2020-01-08 06:00:00;5019.833333333333;16516;0.3039375958666344;822.9972363537626;4196.836096979571;1432.4801096080835;3587.35322372525;1130.8010297713747;3889.032303561959;633.7495743087082;4386.083759024626;1286.8589852946554;3732.974348038678;3945.2988161261915;1074.534517207142;3945.734009686181;1074.0993236471527
2020-01-08 09:00:00;3968.5;16516;0.2402821506418019;760.210492434627;3208.2895075653732;1517.896948970597;2450.603051029403;1545.2564395865356;2423.2435604134644;122.32547593366931;3846.1745240663304;871.614962531628;3096.885037468372;4083.9542462923164;115.45424629231631;4084.8974972708943;116.39749727089428
