Dates;Eolien;Capa_eol;TCH_eol;Eol_p_exog;Err_exog;Eol_p_noreg;Err_noreg;Eol_p_LinReg;Err_LinReg
2021-05-16;4499.288690476191;18024.0;0.2496276459429755;4247.692066374867;251.59662410132327;4607.7608508386875;108.4721603624965;4900.958736571676;401.6700460954851
2021-05-23;6900.946428571428;18045.428571428572;0.38242075555344446;2459.596866337023;4441.349562234405;3956.358133388227;2944.5882951832014;7293.165736870654;392.21930829922536
2021-05-30;4680.232142857141;18068.14285714286;0.2590322746428203;2264.1478569301303;2416.0842859270106;2689.8958013572687;1990.336341499872;4764.916818157119;84.68467529997828
2021-06-06;2290.4851190476197;18090.14285714286;0.12661509293406303;3207.637637243327;917.1525181957074;2296.7262487468383;6.241129699218892;2381.4477655082114;90.96264646059198
2021-06-13;1244.5327380952385;18112.0;0.06871315912628305;3416.0109621143724;2171.478224019134;2644.581008054662;1400.0482699594236;1823.496275815675;578.9635377204364
2021-06-20;2042.6636904761906;18135.85714285714;0.11263121860665402;2161.270689223361;118.60699874717025;3027.487133866854;984.8234433906637;1783.6629164704361;259.00077400575447
2021-06-27;1899.517857142857;18157.714285714286;0.10461216798841892;2484.386062805576;584.8682056627191;2349.5397457280096;450.0218885851527;2633.854747848262;734.336890705405
2021-07-04;1426.3690476190475;18179.85714285714;0.07845875995672867;4517.996109566521;3091.6270619474735;2489.3728713448804;1063.003823725833;2103.2022292895863;676.8331816705388
2021-07-11;2371.9970238095234;18202.0;0.13031518645256143;1586.0162590870393;785.980764722484;3023.0336322775634;651.0366084680403;3012.0674726523653;640.0704488428423
2021-07-18;4170.729166666666;18224.14285714286;0.22885735693363324;2839.165430345056;1331.56373632161;2439.634364826071;1731.094801840595;5055.299413932585;884.570247265919
2021-07-25;2661.092261904762;18247.714285714286;0.14583153924040063;2084.60655674351;576.4857051612521;2069.947361423946;591.1449004808162;2763.1565425231456;102.0642806183837
2021-08-01;3285.0595238095248;18269.714285714286;0.17980902560573842;2315.949398634868;969.1101251746572;1672.1966849384248;1612.8628388711002;4242.9888960460485;957.9293722365236
2021-08-08;3212.1934523809527;18291.571428571428;0.17561057916344508;4392.628979843974;1180.435527463021;2216.1901187934895;996.0033335874632;3868.314335694128;656.1208833131755
2021-08-15;1215.1815476190475;18314.428571428572;0.0663510490037779;2395.257129543594;1180.075581924547;3406.8142427954654;2191.632695176418;1377.982006653751;162.80045903470355
2021-08-22;2319.3511904761904;18335.85714285714;0.12649265166094018;3238.0791091530077;918.7279186768177;2557.14015040897;237.78895993277987;3638.2591903881407;1318.9079999119506
2021-08-29;3610.571428571429;18359.14285714286;0.19666339854023687;959.7390289542252;2650.832399617204;2499.760582479302;1110.8108460921271;5136.70095804435;1526.1295294729214
2021-09-05;2834.1875;18381.714285714286;0.1541851568328774;2941.522950161965;107.33545016196511;1882.5309889939517;951.6565110060485;3091.206163606588;257.01866360658767
2021-09-12;2149.3749999999995;18403.428571428572;0.11679209619325588;1532.1164078908084;617.258592109191;2120.030922972934;29.344077027065225;1738.677951470318;410.69704852968135
2021-09-19;1651.8779761904764;18426.14285714286;0.08964860356274341;1948.6938135613573;296.81583737088084;2234.700724432657;582.8227482421805;1802.422237609671;150.54426141919438
2021-09-26;1679.196428571429;18448.0;0.0910232235782431;765.8942961903458;913.302132381083;2019.6665175241044;340.4700889526755;1774.5878567233501;95.39142815192139
2021-10-03;5399.238095238095;18471.14285714286;0.292306661098135;4861.768660374355;537.4694348637402;1592.88379654489;3806.3542986932052;4802.775826738269;596.4622684998265
2021-10-10;4493.095238095239;18493.285714285714;0.2429581907461911;3737.9852707538994;755.10996734134;3544.0888431481935;949.006394947046;4000.15712920375;492.93810889148915
2021-10-17;1803.7857142857144;18515.571428571428;0.09741993225779075;3956.209058560368;2152.4233442746536;4123.010912658925;2319.2251983732103;1691.3508954059541;112.4348188797602
2021-10-24;5517.163690476192;18538.0;0.2976137496211129;2843.2865674016357;2673.8771230745556;3589.4558125015596;1927.7078779746319;4958.836309761245;558.3273807149463
2021-10-31;5596.443452380952;18560.14285714286;0.30153019270685005;5046.713784352969;549.729668027984;2884.360158640403;2712.08329374055;4497.6369428078515;1098.8065095731017
