Dates;Hydraulique;Capa_hyd;TCH_hyd;Hyd_p_exog;Err_exog;Hyd_p_noreg;Err_noreg;Hyd_p_LinReg;Err_LinReg
2021-08-01;6705.473214285716;25346;0.2645574534161491;8163.961896934124;1458.4886826484083;8230.454077795508;1524.9808635097927;7577.460613265613;871.9873989798972
2021-08-08;6549.139880952382;25346;0.2583894847688938;7445.971309854934;896.8314289025515;7525.521709491924;976.3818285395429;7493.755889678674;944.6160087262926
2021-08-15;6659.636904761905;25346;0.2627490296205281;7420.30952646641;760.6726217045049;7449.644803975601;790.0078992136954;6842.8292838983125;183.19237913640723
2021-08-22;5319.913690476191;25346;0.20989164722150205;6667.544686639048;1347.6309961628576;6657.944354140367;1338.0306636641762;6803.600995432608;1483.6873049564174
2021-08-29;4906.479166666666;25346;0.19358001920092582;6113.569486208564;1207.0903195418982;6193.969938444757;1287.4907717780911;6825.957998640883;1919.4788319742163
2021-09-05;4862.9375;25346;0.1918621281464531;5459.757171933934;596.819671933934;5413.91611554575;550.9786155457491;7226.392476970084;2363.4549769700848
2021-09-12;4425.9672619047615;25346;0.17462192306102586;5493.927453750793;1067.9601918460312;5233.7543166165415;807.7870547117795;7157.886308246944;2731.919046342183
2021-09-19;5091.440476190476;25346;0.20087747479643636;5121.15005620928;29.709580018803997;5399.401432386984;307.9609561965083;7994.456539880638;2903.016063690162
2021-09-26;4755.041666666666;25346;0.1876052105526184;5128.382396285916;373.34072961925034;4893.687212735888;138.64554606922272;7413.094744209001;2658.0530775423354
2021-10-03;3903.9285714285716;25346;0.15402543089357576;4565.891436166751;661.9628647381797;4522.33706440886;618.4084929802887;7507.196247716687;3603.2676762881156
2021-10-10;5475.130952380953;25346;0.21601558243434676;5044.4022557061735;430.7286966747795;5179.410371003535;295.7205813774176;7257.674756612065;1782.5438042311116
2021-10-17;3539.616071428571;25346;0.1396518610995254;5313.692005474766;1774.075934046195;5493.1462384418355;1953.5301670132646;6761.339367897452;3221.723296468881
2021-10-24;3906.470238095238;25346;0.15412570970154021;5340.9969432522375;1434.526705156999;5357.809260797517;1451.3390227022785;6958.003890176818;3051.533652081579
2021-10-31;3512.699404761905;25346;0.1385898920840332;4938.172963189248;1425.4735584273424;4555.767419190542;1043.0680144286362;7256.60435301453;3743.9049482526248
