Dates;Balance;Bal_p_exog;Err_exog;Bal_p_noreg;Err_noreg;Bal_p_LinReg;Err_LinReg
2021-05-30;10515.630952380952;9208.520336523517;1307.1106158574348;7961.643346620097;2553.9876057608553;8060.116244944606;2455.5147074363467
2021-06-06;10507.711309523813;8789.513351732063;1718.19795779175;8539.69573875007;1968.015570773743;10202.856878897526;304.85443062628656
2021-06-13;9603.348214285714;8491.581527472854;1111.76668681286;7703.895572281061;1899.4526420046532;9739.073113843984;135.7248995582704
2021-06-20;7315.113095238095;8512.971975414226;1197.8588801761307;7984.452509663081;669.339414424986;7813.05143879904;497.9383435609443
2021-06-27;10632.0;9311.49361869034;1320.5063813096604;7551.830936948429;3080.1690630515714;10704.412117530565;72.4121175305645
2021-07-04;9837.57738095238;10352.258391989482;514.6810110371025;8434.424979486304;1403.1524014660754;10232.819454399476;395.2420734470961
2021-07-11;9184.0;11744.461427323215;2560.4614273232146;9166.315652476467;17.68434752353278;8660.763514481183;523.2364855188171
2021-07-18;10767.16369047619;11529.78091065893;762.6172201827394;10366.28382595467;400.8798645215211;8771.937611472578;1995.2260790036125
2021-07-25;9493.267857142857;11789.681563704607;2296.4137065617506;10576.446304742125;1083.178447599268;8517.761152843057;975.5067042997998
2021-08-01;10969.413690476187;11146.91471252409;177.50102204790346;10849.25991752754;120.15377294864629;9800.445009398041;1168.968681078146
2021-08-08;10170.00892857143;8987.303952551187;1182.7049760202426;10477.830850557517;307.82192198608755;9337.281853023009;832.7270755484205
2021-08-15;8269.755952380952;10447.020730960196;2177.2647785792433;9237.592074358306;967.8361219773542;8855.999537251413;586.2435848704608
2021-08-22;10820.16369047619;10340.18597969207;479.97771078412006;9244.733913601456;1575.4297768747347;10568.731567248467;251.43212322772342
2021-08-29;11221.389880952383;9300.43147003642;1920.9584109159641;8913.796110186635;2307.5937707657486;9559.28091956774;1662.1089613846434
2021-09-05;10792.559523809525;8594.90584864355;2197.653675165975;8069.41722359842;2723.142300211105;10031.407497213127;761.1520265963973
2021-09-12;9577.455357142857;8168.320680638549;1409.1346765043081;8249.127167820938;1328.3281893219191;9540.066289345472;37.389067797384996
2021-09-19;7451.401785714284;6250.563636354157;1200.8381493601273;7215.702345726382;235.69943998790222;8743.16730788067;1291.7655221663863
2021-09-26;6697.014880952382;6381.897712404489;315.117168547893;6324.174794074166;372.8400868782155;7855.244918837507;1158.230037885125
2021-10-03;6165.193452380952;4267.832393699206;1897.3610586817467;5800.954645367474;364.23880701347844;5071.137464503434;1094.0559878775184
2021-10-10;7793.252976190476;6699.999833782916;1093.2531424075605;5281.662064732314;2511.590911458162;6852.012152932088;941.2408232583884
2021-10-17;4624.85119047619;5674.40888104878;1049.5576905725902;6257.76720707959;1632.9160166033998;6368.45693412752;1743.6057436513302
2021-10-24;5397.294642857144;6613.449632525528;1216.1549896683837;5733.032499696583;335.7378568394388;4431.449347997924;965.8452948592203
2021-10-31;5354.083333333333;4830.631972628177;523.4513607051558;6671.527289178108;1317.4439558447748;4712.524910134935;641.5584231983976
