Dates;Consommation;Conso_p_sinus;Err_sinus;Conso_p_exog;Err_exog;Conso_p_filter;Err_exog_filter;Conso_p_reduit_noreg;Err_filter_noreg;Conso_p_reduit;Err_filter_exog_filter;Conso_p_LinReg;Err_LinReg;Conso_p_LinReg_filter;Err_LinReg_filter
2021-07-05;45019.25;45522.664066070116;503.41406607011595;46070.99253402636;1051.742534026358;47028.50646673137;2009.256466731371;45990.93564541686;971.6856454168592;47655.63836897911;2636.388368979111;43662.079351795954;1357.1706482040463;44039.56417665544;979.68582334456
2021-07-06;45806.27083333334;47361.921297591965;1555.6504642586224;48152.29346085031;2346.02262751697;48307.82175209228;2501.550918758934;47557.396263188595;1751.1254298552522;47394.05327721172;1587.7824438783791;45195.73335534734;610.5374779859994;45518.33042753325;287.9404058000946
2021-07-07;45986.89583333333;47385.15743156732;1398.2615982339921;48342.955956902035;2356.0601235687063;48357.25823222819;2370.3623988948602;47009.11569562374;1022.2198622904107;47371.762237388204;1384.8664040548756;45891.8514846005;95.04434873283026;46189.53527150722;202.63943817389372
2021-07-08;45972.72916666666;48283.221845470856;2310.4926788041994;49040.46079547206;3067.731628805406;49692.34851207399;3719.6193454073364;46882.75603628961;910.0268696229541;48114.8129090793;2142.083742412644;46370.95091559143;398.2217489247705;46651.488272460214;678.759105793557
2021-07-09;45568.39583333334;47326.56928254114;1758.1734492077958;46579.40864424668;1011.0128109133366;46674.90531295385;1106.5094796205085;46030.68403770553;462.2882043721838;45108.09002476595;460.30580856739107;45867.261789705415;298.8659563720721;46165.82561414901;597.4297808156698
2021-07-10;40853.958333333336;41704.682811872146;850.7244785388102;42148.22220831417;1294.263874980832;41582.611172595;728.6528392616674;40672.51876567993;181.43956765340408;42205.20225256994;1351.2439192366073;45818.1119785777;4964.1536452443615;46118.434819507995;5264.476486174659
2021-07-11;38656.8125;38471.868397444916;184.9441025550841;38628.10300722484;28.70949277516047;38260.231234784136;396.5812652158638;37766.438353148085;890.3741468519147;38792.20395192001;135.3914519200116;44288.87758441787;5632.065084417867;44643.930005170085;5987.117505170085
2021-07-12;44852.8125;45222.344064839024;369.5315648390242;42904.17529524489;1948.6372047551122;44201.586931182625;651.2255688173755;43780.62428947819;1072.18821052181;43689.86836190284;1162.944138097162;46061.15782232871;1208.345322328707;46352.782325740074;1499.9698257400742
2021-07-13;45320.04166666666;39887.555820061876;5432.485846604781;39003.16342544221;6316.878241224447;39347.44284267227;5972.598823994384;46014.35079866145;694.3091319947926;46406.47149277778;1086.4298261111253;47964.94348656897;2644.901819902312;48188.43364126782;2868.3919746011597
2021-07-14;40284.500000000015;48486.20317014374;8201.703170143723;45845.04267445029;5560.5426744502765;46666.20480928202;6381.704809282004;46355.66736117867;6071.167361178654;45822.1809061223;5537.680906122288;47090.328233469845;6805.828233469831;47345.11988484622;7060.619884846208
2021-07-15;44809.45833333334;48828.2038067873;4018.745473453957;47952.929472961354;3143.471139628011;47353.279772208145;2543.821438874802;47284.180801868155;2474.722468534812;46724.900082439446;1915.441749106103;45713.891220327576;904.4328869942328;46017.94400503205;1208.4856716987051
2021-07-16;44845.83333333333;48217.13652481977;3371.3031914864405;48917.864377100814;4072.0310437674852;48104.02898235783;3258.1956490244993;47534.58504959621;2688.751716262879;47773.87965707196;2928.0463237386284;45252.27529654937;406.4419632160425;45572.848796223356;727.0154628900273
2021-07-17;40594.60416666666;42865.41080962895;2270.8066429622922;45073.90709925143;4479.302932584775;43331.65513299884;2737.0509663321864;43164.96858889119;2570.364422224535;42609.12441519453;2014.5202485278714;43096.303737542185;2501.6995708755276;43494.037035598354;2899.432868931697
2021-07-18;38726.1875;39143.273343586334;417.0858435863338;41912.21249164066;3186.024991640661;40524.59662203051;1798.4091220305127;40987.60422804767;2261.4167280476686;40518.61178226092;1792.424282260923;39265.05518050469;538.8676805046925;39799.90455737833;1073.7170573783296
2021-07-19;45714.14583333334;38818.38593139477;6895.759901938574;39120.672834189405;6593.472999143938;38612.479489934514;7101.666343398829;47326.43250465913;1612.28667132579;44616.125304268295;1098.0205290650483;37273.22211527728;8440.92371805606;37879.35695836305;7834.788874970291
2021-07-20;47128.91666666667;53695.81536769793;6566.898701031256;52744.400873065606;5615.4842063989345;53594.14163484373;6465.224968177055;49377.712210667916;2248.7955440012447;48797.97684397655;1669.0601773098751;37743.89805643319;9385.018610233485;38333.187936712646;8795.728729954026
2021-07-21;47481.08333333333;47574.9703740088;93.88704067547224;48192.46559746968;711.3822641363513;47742.98862844173;261.90529510840133;49168.34176010399;1687.2584267706625;47964.993533552646;483.91020021931763;38034.25052206286;9446.83281127047;38613.14901400783;8867.934319325497
2021-07-22;47673.375;48528.06349621763;854.6884962176264;49302.55415020672;1629.1791502067208;49530.17011666881;1856.7951166688072;49264.54128813797;1591.166288137967;49596.03989500494;1922.664895004942;37803.13306121505;9870.241938784951;38390.30298726458;9283.072012735422
2021-07-23;46914.87500000001;47958.68465622415;1043.8096562241408;49189.735135790135;2274.860135790128;49232.8716351732;2317.9966351731928;48491.85846312275;1576.9834631227423;48570.49394372534;1655.6189437253342;38593.465387801065;8321.409612198942;39152.35020836322;7762.524791636788
2021-07-24;41237.9375;40565.53631523498;672.4011847650181;41157.49566600262;80.44183399737813;40151.00625103968;1086.931248960318;42979.3838815954;1741.4463815954005;41424.755928381506;186.81842838150624;40945.59589427174;292.3416057282593;41420.30060824128;182.36310824128304
2021-07-25;38785.0;37432.79896914343;1352.2010308565732;35793.48021166215;2991.5197883378496;35884.47194544865;2900.5280545513524;39608.475663964564;823.4756639645639;38712.787426710696;72.21257328930369;43766.72732874732;4981.727328747322;44140.46692015558;5355.466920155581
2021-07-26;44645.35416666666;45448.09082270713;802.7366560404698;45624.85974060665;979.5055739399904;46749.361846932356;2104.0076802656986;44730.60899492887;85.2548282622156;47862.77541055496;3217.421243888304;43220.87373291522;1424.480433751436;43614.148810876926;1031.2053557897307
2021-07-27;45711.52083333334;46265.16474569368;553.6439123603341;46804.536588526375;1093.0157551930315;47219.74144312196;1508.2206097886155;45559.05047408438;152.47035924896045;46167.686014950756;456.1651816174126;44460.61217968139;1250.9086536519535;44809.518412330886;902.0024210024567
2021-07-28;45248.99999999999;45956.038541059;707.0385410590097;45689.539390704485;440.5393907044927;46089.60674358706;840.6067435870646;44330.55720795317;918.4427920468224;44355.55956585884;893.44043414115;44548.777768687;700.2222313129896;44894.52865402057;354.47134597942204
2021-07-29;45222.27083333333;45917.61100913729;695.3401758039618;45628.09889713535;405.82806380202237;46256.4359996562;1034.1651663228695;43727.51631295873;1494.7545203745976;44971.65635037157;250.61448296175513;44281.23802962128;941.0328037120489;44636.563861451374;585.7069718819548
2021-07-30;44044.58333333334;44111.39497237228;66.81163903894048;43178.37263602129;866.2106973120535;43792.35833432036;252.2249990129858;42652.736389064754;1391.8469442685891;43374.21016060424;670.3731727291015;44317.1951143141;272.6117809807547;44671.23408250552;626.6507491721786
2021-07-31;39721.64583333333;39132.823142097;588.8226912363316;40267.85544933582;546.2096160024885;39486.50521356633;235.14061976700032;37239.54580021343;2482.1000331198957;39369.109753520504;352.536079812824;46154.17825082323;6432.5324174899;46442.473657671115;6720.827824337786
2021-08-01;36716.833333333336;37010.7031055527;293.86977221936104;37524.415421713435;807.5820883800989;37684.647487570444;967.8141542371086;34311.34655566656;2405.4867776667743;36145.28463234209;571.5487009912467;46456.94810972809;9740.114776394752;46734.40772369564;10017.5743903623
2021-08-02;40912.14583333333;42640.649189948344;1728.503356615016;40301.06636563821;611.0794676951191;41618.19195581474;706.0461224814135;40069.16904090761;842.9767924257176;39611.51541823861;1300.630415094718;47003.300181540064;6091.154348206735;47261.20646905922;6349.060635725895
2021-08-03;41803.35416666667;42252.56900269595;449.21483602927765;41074.058025733226;729.2961409334457;41542.469030820124;260.8851358465472;41540.85386281089;262.5003038557843;42708.33045933826;904.9762926715921;47023.134476123465;5219.7803094567935;47280.33091653693;5476.976749870257
2021-08-04;41639.47916666666;42674.87023442832;1035.391067761666;43367.28933556308;1727.8101688964234;43928.337724481535;2288.8585578148777;40983.27638185659;656.2027848100697;43807.91694614102;2168.437779474363;47637.73934113438;5998.260174467723;47872.93976435976;6233.460597693105
2021-08-05;41068.1875;42674.98814930625;1606.8006493062494;41852.37603519391;784.1885351939127;42357.50993598755;1289.322435987553;41056.166829856775;12.020670143225288;40330.9466515495;737.2408484504995;45137.77952382986;4069.5920238298568;45462.45069849484;4394.263198494838
2021-08-06;40451.333333333336;41917.72894216989;1466.3956088365521;42112.27626058975;1660.9429272564157;42010.725613628056;1559.39228029472;40670.89764319336;219.5643098600267;41382.42759059025;931.0942572569111;44715.2714166676;4263.938083334266;45055.0636815099;4603.730348176563
2021-08-07;37244.375;37993.113190644166;748.738190644166;38322.60214557922;1078.2271455792215;38380.87600175589;1136.5010017558889;35961.19263974789;1283.1823602521108;36814.44143527285;429.93356472715095;47245.034013276614;10000.659013276614;47494.2889187119;10249.9139187119
2021-08-08;35502.375;35541.98460913009;39.609609130093304;35050.66887587736;451.7061241226402;34596.47995739708;905.8950426029187;33731.72717049497;1770.6478295050329;32787.34903663803;2715.0259633619717;47029.656614342864;11527.281614342864;47286.61963476156;11784.244634761562
2021-08-09;39637.75;41126.4976421592;1488.7476421592;41477.84054992282;1840.0905499228174;42104.12410090894;2466.3741009089426;40092.94788138412;455.1978813841197;41955.613019348486;2317.863019348486;45975.538050833275;6337.788050833275;46270.22678961385;6632.476789613851
2021-08-10;40946.437499999985;41232.087150670035;285.6496506700496;41510.604807952885;564.1673079528991;41914.73238204657;968.2948820465826;41953.080519175404;1006.6430191754189;41912.21446255302;965.7769625530345;43171.83473682919;2225.3972368292016;43566.86486533182;2620.427365331838
2021-08-11;41808.29166666666;41297.27602354197;511.0156431246869;41467.922911003254;340.36875566340314;41631.1476734951;177.14399317155767;41657.44900637671;150.84266028994898;41296.29841904582;511.99324762083415;40460.30714358589;1347.9845230807696;40952.37979638728;855.9118702793785
2021-08-12;42395.08333333333;41252.27844100297;1142.8048923303577;41845.28858166146;549.7947516718705;42282.918611876376;112.16472145695298;41920.25456625255;474.82876708077674;42634.807997887256;239.72466455392714;39361.653719582304;3033.4296137510246;39893.04594333715;2502.037389996178
2021-08-13;42587.54166666666;40609.51307323925;1978.028593427407;40518.855376938256;2068.686289728401;41032.45193474859;1555.0897319180658;41746.550486130465;840.9911805361917;41379.44566900734;1208.095997659315;39293.46996603721;3294.0717006294435;39827.30240968017;2760.2392569864896
2021-08-14;40146.29166666666;32808.38008782243;7337.911578844229;32747.675674130784;7398.615992535873;32874.76722093407;7271.52444573259;37349.06925936063;2797.222407306028;36978.57842948652;3167.7132371801345;37687.944097472624;2458.347569194033;38279.23650704058;1867.0551596260775
2021-08-15;37757.91666666667;36163.72152640037;1594.1951402663035;36217.91405339019;1540.0026132764833;36790.03226192399;967.8844047426828;35562.57747907444;2195.3391875922316;36791.075685486496;966.8409811801757;39484.536508669305;1726.619842002634;40011.53089554593;2253.6142288792616
2021-08-16;40818.770833333336;39885.54193730158;933.2288960317528;37575.69431441377;3243.0765189195663;38986.82550740619;1831.9453259271468;42407.75999677588;1588.989163442544;40905.26115223378;86.49031890044716;44819.54376360189;4000.772930268555;45155.60423836901;4336.833405035672
2021-08-17;41677.79166666666;41919.80181244764;242.01014578097966;42095.36376692702;417.57210026036046;41765.45627363089;87.66460696423019;44621.98164674832;2944.189980081661;45172.66805357745;3494.8763869107934;47263.64119633491;5585.849529668252;47512.230171606476;5834.438504939819
2021-08-18;42035.66666666666;42395.17634943912;359.50968277246284;42515.211581917465;479.5449152508081;42446.850881883234;411.1842152165773;44551.21369361436;2515.547026947701;44482.8273986077;2447.1607319410396;46740.068791238875;4704.402124572218;47007.395834295676;4971.729167629019
2021-08-19;42231.3125;42175.29747463348;56.015025366519694;42245.984287190404;14.671787190403847;42157.49958364397;73.81291635602975;44873.70866207988;2642.39616207988;44326.07443815;2094.761938149997;45557.253182167246;3325.9406821672455;45866.911866167065;3635.5993661670655
2021-08-20;42444.5625;39197.52558441212;3247.03691558788;39637.76388804923;2806.7986119507696;38660.62287774973;3783.939622250269;44627.075357885755;2182.512857885755;43655.55331901305;1210.9908190130518;43882.92481837772;1438.3623183777236;44252.50583225979;1807.9433322597906
2021-08-21;39482.833333333336;43091.71876573567;3608.885432402334;43628.22920018163;4145.395866848296;43261.83935871348;3779.006025380142;40087.090933740015;604.2576004066796;40468.69163992782;985.858306594484;43009.11144100684;3526.2781076735046;43409.965253335584;3927.131920002248
2021-08-22;37494.5;36687.01093281682;807.4890671831818;37923.080372663935;428.5803726639351;36825.24947787504;669.2505221249594;38143.971805899;649.4718058989965;37369.396269403034;125.10373059696576;43557.00905295561;6062.509052955611;43938.254225691955;6443.754225691955
2021-08-23;42711.145833333336;42090.91843391065;620.2273994226853;41004.43348205143;1706.712351281909;41588.75883114385;1122.3870021894836;44779.95814934538;2068.812316012045;43799.803550398836;1088.6577170655;45124.920149547135;2413.7743162137995;45450.05154676136;2738.905713428023
2021-08-24;43469.1875;46012.88158219431;2543.6940821943135;44691.4089650046;1222.2214650046008;44709.37473843004;1240.1872384300368;46620.92448179775;3151.7369817977524;45605.41797837221;2136.2304783722066;44578.55356759917;1109.3660675991705;44923.23881056323;1454.0513105632272
2021-08-25;43833.062500000015;46431.32123856598;2598.2587385659644;46321.5128179008;2488.450317900788;45237.34204097606;1404.2795409760438;46071.3382786709;2238.2757786708826;45478.04639920769;1644.9838992076766;44848.179631484774;1015.1171314847597;45183.215260732424;1350.1527607324097
2021-08-26;44505.77083333334;46120.26208653643;1614.4912532030867;46257.34894185051;1751.5781085171693;45476.397147861986;970.626314528643;45835.32232814428;1329.551494810934;45611.33554794256;1105.564714609216;45448.94085707418;943.1700237408368;45762.47591742579;1256.7050840924494
2021-08-27;43960.5;46332.357109058765;2371.8571090587648;47579.2360595814;3618.7360595814025;46753.253943648764;2792.753943648764;45055.39344807307;1094.8934480730677;45477.75058994715;1517.2505899471507;46504.861037621406;2544.3610376214056;46780.60590176273;2820.1059017627267
2021-08-28;39677.16666666666;41839.13957165164;2161.972904984985;43285.86003671655;3608.693370049892;41510.161863426394;1832.9951967597372;40149.69199017981;472.5253235131531;38960.294528803955;716.8721378627015;47714.56789621814;8037.401229551484;47947.01871182672;8269.852045160063
2021-08-29;37978.020833333336;38091.785304130455;113.76447079711943;38759.04807764859;781.0272443152571;37954.984409314595;23.036424018740945;38132.244508317126;154.22367498379026;37763.944315787405;214.07651754593098;47388.55964082043;9410.538807487093;47632.67792539553;9654.657092062196
