Dates;Hydraulique;Capa_hyd;TCH_hyd;Hyd_p_sinus;Err_sinus;Hyd_p_exog;Err_exog;Hyd_p_filter;Err_exog_filter;Hyd_p_reduit_noreg;Err_filter_noreg;Hyd_p_reduit;Err_filter_exog_filter;Hyd_p_LinReg;Err_LinReg;Hyd_p_LinReg_filter;Err_LinReg_filter
2021-02-01;10916.854166666668;25346;0.43071309739866914;8697.690041283187;2219.16412538348;8663.179093550554;2253.6750731161146;8673.1753439211;2243.6788227455672;8104.450412213155;2812.4037544535136;8116.178493639197;2800.675673027471;7519.49141321864;3397.362753448028;7502.8546118339755;3413.9995548326924
2021-02-02;9458.770833333334;25346;0.3731859399247745;10429.35031543816;970.5794821048254;10392.175436874944;933.4046035416098;10381.269869536713;922.4990362033776;9560.770593342668;101.99976000933313;9542.881316006418;84.11048267308303;7125.180659355111;2333.5901739782234;7123.5514199729005;2335.2194133604344
2021-02-03;9580.5;25346;0.37798863726031723;10328.294775168231;747.7947751682303;10290.375568570975;709.8755685709738;10278.961767600153;698.4617676001517;10162.55673207498;582.0567320749795;10146.721377767126;566.2213777671257;7188.064197702359;2392.4358022976417;7184.04159574651;2396.4584042534902
2021-02-04;10950.583333333334;25346;0.43204384649780375;10514.698909137329;435.8844241960049;10485.704660413865;464.87867291946924;10505.40121645188;445.182116881453;10062.852823939618;887.7305093937148;10092.192767820641;858.3905655126928;7168.674387131864;3781.90894620147;7165.389766023611;3785.1935673097228
2021-02-05;10627.770833333334;25346;0.41930761592887766;9727.410762458796;900.3600708745373;9687.374171288624;940.3966620447101;9671.626003163285;956.1448301700482;10371.136960068741;256.6338732645922;10343.76368358931;284.00714974402257;7125.277022746521;3502.4938105868123;7123.644115750488;3504.1267175828452
2021-02-06;10607.083333333332;25346;0.4184914121886425;10460.483968224384;146.5993651089482;10428.569810178104;178.5135231552287;10432.609752297754;174.47358103557858;10523.475466077396;83.60786725593597;10531.893107020122;75.19022631321131;7240.6444868427125;3366.43884649062;7234.620666452801;3372.462666880532
2021-02-07;9894.979166666666;25346;0.39039608485231064;9637.95253150962;257.02663515704666;9605.79375662241;289.18541004425606;9612.600897485107;282.37826918155884;9269.602401723923;625.3767649427419;9278.970975735218;616.0081909314475;7412.071565238937;2482.9076014277284;7399.5231890698005;2495.455977596865
2021-02-08;12396.1875;25346;0.4890786514637418;9090.01446662377;3306.1730333762284;9047.45009086924;3348.7374091307597;9029.373297816448;3366.8142021835515;8719.60163873634;3676.5858612636594;8688.439269944663;3707.748230055335;7124.125318784541;5272.062181215458;7122.536245917931;5273.651254082069
2021-02-09;13141.041666666668;25346;0.5184660958994187;10790.23620404495;2350.8054626217163;10764.841890768865;2376.199775897803;10788.872753289785;2352.1689133768823;10480.207667089739;2660.833999576928;10517.23530334453;2623.806363322136;7280.719878135346;5860.321788531321;7273.170778727037;5867.87088793963
2021-02-10;12716.979166666668;25346;0.5017351521607618;11260.81967324111;1456.1594934255577;11228.958020177586;1488.0211464890822;11227.901034195947;1489.0781324707218;11341.349509595037;1375.6296570716322;11336.443378021064;1380.5357886456052;7335.899153354174;5381.080013312495;7326.2499174773975;5390.729249189271
2021-02-11;13298.458333333336;25346;0.5246768063336754;10412.581457655946;2885.8768756773916;10376.136597366154;2922.321735967184;10371.639024667758;2926.819308665578;11399.564354535487;1898.8939787978495;11390.026069042764;1908.4322642905727;7185.650098432372;6112.8082349009655;7181.719377674586;6116.7389556587505
2021-02-12;12461.333333333336;25346;0.4916489123859124;11556.164618569655;905.1687147636802;11527.538238241628;933.795095091708;11539.756335680024;921.5769976533123;11733.439154727921;727.8941786054156;11750.82028789393;710.5130454394065;7381.495143071977;5079.838190261359;7370.110512874735;5091.222820458601
2021-02-13;11398.916666666664;25346;0.4497323706567768;11853.254633946759;454.33796728009446;11817.843065600422;418.9263989337578;11802.930601557882;404.0139348912183;11800.21781564478;401.30114897811535;11776.644712423547;377.72804575688264;7200.164472266445;4198.75219440022;7195.681330954294;4203.23533571237
